Description,Selection,Bet Id,Bet type,Matched amount,Loss rec. amount,Avg. price matched,Status,P/L,Strategy,Short description,Tipster,Placed date,Matched date,Settled date,Settle as win
10:00 Independiente Rivadavia v Barracas Central\Match Odds\Barracas Central,Barracas Central,639088709229955560,BACK,Åí0.00,Åí0.00,0,CANCELLED,Åí0.00,MV25.00 LTD9 trigger bot (any selection on any market for that event is ok) ghost bets,,,2026-03-12 09:43:55,2026-03-12 09:43:55,2026-03-12 12:02:18,
10:00 Independiente Rivadavia v Barracas Central\First Half Goals 0.5\Under 0.5 Goals,Under 0.5 Goals,639088709229955562,BACK,Åí0.00,Åí0.00,0,CANCELLED,Åí0.00,MV25.00 LTD9 trigger bot (any selection on any market for that event is ok) ghost bets,,,2026-03-12 09:43:55,2026-03-12 09:43:55,2026-03-12 10:36:05,
10:00 Independiente Rivadavia v Barracas Central\First Half Goals 1.5\Over 1.5 Goals,Over 1.5 Goals,639088709229955565,BACK,Åí0.00,Åí0.00,0,CANCELLED,Åí0.00,MV25.00 LTD9 trigger bot (any selection on any market for that event is ok) ghost bets,,,2026-03-12 09:43:55,2026-03-12 09:43:55,2026-03-12 10:45:25,
10:00 Independiente Rivadavia v Barracas Central\Match Odds\The Draw,The Draw,639088709229955561,BACK,Åí0.00,Åí0.00,0,CANCELLED,Åí0.00,MV25.00 LTD9 trigger bot (any selection on any market for that event is ok) ghost bets,,,2026-03-12 09:43:55,2026-03-12 09:43:55,2026-03-12 12:02:18,
10:00 Independiente Rivadavia v Barracas Central\First Half Goals 1.5\Under 1.5 Goals,Under 1.5 Goals,639088709229955564,BACK,Åí0.00,Åí0.00,0,CANCELLED,Åí0.00,MV25.00 LTD9 trigger bot (any selection on any market for that event is ok) ghost bets,,,2026-03-12 09:43:55,2026-03-12 09:43:55,2026-03-12 10:45:25,
10:00 Independiente Rivadavia v Barracas Central\First Half Goals 0.5\Over 0.5 Goals,Over 0.5 Goals,639088709229955563,BACK,Åí0.00,Åí0.00,0,CANCELLED,Åí0.00,MV25.00 LTD9 trigger bot (any selection on any market for that event is ok) ghost bets,,,2026-03-12 09:43:55,2026-03-12 09:43:55,2026-03-12 10:36:05,
10:00 Independiente Rivadavia v Barracas Central\Over/Under 0.5 Goals\Under 0.5 Goals,Under 0.5 Goals,639088709229955568,BACK,Åí0.00,Åí0.00,0,CANCELLED,Åí0.00,MV25.00 LTD9 trigger bot (any selection on any market for that event is ok) ghost bets,,,2026-03-12 09:43:56,2026-03-12 09:43:56,2026-03-12 10:35:05,
10:00 Independiente Rivadavia v Barracas Central\Over/Under 0.5 Goals\Over 0.5 Goals,Over 0.5 Goals,639088709229955569,BACK,Åí0.00,Åí0.00,0,CANCELLED,Åí0.00,MV25.00 LTD9 trigger bot (any selection on any market for that event is ok) ghost bets,,,2026-03-12 09:43:56,2026-03-12 09:43:56,2026-03-12 10:35:05,
09:29 Flamengo v Cruzeiro MG\Match Odds\The Draw,The Draw,639088709229955571,BACK,Åí0.00,Åí0.00,0,CANCELLED,Åí0.00,MV25.00 LTD9 trigger bot (any selection on any market for that event is ok) ghost bets,Score at time of bet: 1 - 0,,2026-03-12 09:44:26,2026-03-12 09:44:26,2026-03-12 11:33:26,
09:29 Flamengo v Cruzeiro MG\Match Odds\Flamengo,Flamengo,639088709229955570,BACK,Åí0.00,Åí0.00,0,CANCELLED,Åí0.00,MV25.00 LTD9 trigger bot (any selection on any market for that event is ok) ghost bets,Score at time of bet: 1 - 0,,2026-03-12 09:44:26,2026-03-12 09:44:26,2026-03-12 11:33:26,
09:30 Tolima v OHiggins\First Half Goals 0.5\Over 0.5 Goals,Over 0.5 Goals,639088709229955575,BACK,Åí0.00,Åí0.00,0,LAPSED,Åí0.00,MV25.00 LTD9 trigger bot (any selection on any market for that event is ok) ghost bets,Score at time of bet: 0 - 0,,2026-03-12 09:44:26,2026-03-12 09:44:26,2026-03-12 10:10:35,
09:29 Flamengo v Cruzeiro MG\Match Odds\Cruzeiro MG,Cruzeiro MG,639088709229955572,BACK,Åí0.00,Åí0.00,0,CANCELLED,Åí0.00,MV25.00 LTD9 trigger bot (any selection on any market for that event is ok) ghost bets,Score at time of bet: 1 - 0,,2026-03-12 09:44:26,2026-03-12 09:44:26,2026-03-12 11:33:26,
09:30 Tolima v OHiggins\First Half Goals 0.5\Under 0.5 Goals,Under 0.5 Goals,639088709229955576,BACK,Åí0.00,Åí0.00,0,LAPSED,Åí0.00,MV25.00 LTD9 trigger bot (any selection on any market for that event is ok) ghost bets,Score at time of bet: 0 - 0,,2026-03-12 09:44:26,2026-03-12 09:44:26,2026-03-12 10:10:35,
09:29 Flamengo v Cruzeiro MG\Over/Under 1.5 Goals\Over 1.5 Goals,Over 1.5 Goals,639088709229955577,BACK,Åí0.00,Åí0.00,0,CANCELLED,Åí0.00,MV25.00 LTD9 trigger bot (any selection on any market for that event is ok) ghost bets,Score at time of bet: 1 - 0,,2026-03-12 09:44:26,2026-03-12 09:44:26,2026-03-12 11:32:18,
09:30 Tolima v OHiggins\First Half Goals 1.5\Under 1.5 Goals,Under 1.5 Goals,639088709229955574,BACK,Åí0.00,Åí0.00,0,LAPSED,Åí0.00,MV25.00 LTD9 trigger bot (any selection on any market for that event is ok) ghost bets,Score at time of bet: 0 - 0,,2026-03-12 09:44:26,2026-03-12 09:44:26,2026-03-12 10:21:29,
09:29 Flamengo v Cruzeiro MG\Over/Under 1.5 Goals\Under 1.5 Goals,Under 1.5 Goals,639088709229955573,BACK,Åí0.00,Åí0.00,0,CANCELLED,Åí0.00,MV25.00 LTD9 trigger bot (any selection on any market for that event is ok) ghost bets,Score at time of bet: 1 - 0,,2026-03-12 09:44:26,2026-03-12 09:44:26,2026-03-12 11:32:18,
09:30 Tolima v OHiggins\First Half Goals 1.5\Over 1.5 Goals,Over 1.5 Goals,639088709229955578,BACK,Åí0.00,Åí0.00,0,CANCELLED,Åí0.00,MV25.00 LTD9 trigger bot (any selection on any market for that event is ok) ghost bets,Score at time of bet: 0 - 0,,2026-03-12 09:44:26,2026-03-12 09:44:26,2026-03-12 10:21:29,
09:30 Tolima v OHiggins\Over/Under 1.5 Goals\Under 1.5 Goals,Under 1.5 Goals,639088709229955579,BACK,Åí0.00,Åí0.00,0,CANCELLED,Åí0.00,MV25.00 LTD9 trigger bot (any selection on any market for that event is ok) ghost bets,Score at time of bet: 0 - 0,,2026-03-12 09:44:28,2026-03-12 09:44:28,2026-03-12 11:20:22,
